comp,gfa,tg,tprime,taprime,tprimeextrap,tstar,ta,tstarextrap,tl
Nb50Ni50,good,956.7284108753222,1018.3134931980836,1569.828859210802,815.5774592686273,1221.8605032373612,1550.8988204882185,809.5538173570044,1533.15
Nb60Ni40,good,940.5120905372896,957.125646426692,1520.2415119219754,729.7592841656685,1202.2635820570245,1544.1983446355882,810.4584983990926,1993.15
Ni20Zr80,good,725.820747533299,769.1135067610361,1386.405713327942,605.349740358804,928.45941553388,1385.1801196927777,663.5581570535201,1433.15
Ni28Zr72,good,754.6263259417585,762.9372129429547,1385.2216693860914,577.6967691147865,929.7216376620707,1391.9154812205777,644.2241956251855,1323.075
Ni30Zr70,good,771.6836226579655,772.2223625422857,1393.4065606202776,595.7427286387779,936.8511545703892,1398.6012074749783,706.0478753842217,1373.15
Ni33Zr67,good,744.594663107564,779.5046637202977,1392.49592239663,610.112321081004,938.203406752122,1403.2727540062508,655.2840089783758,1393.15
Ni40Zr60,good,768.7261770863837,784.3435701439348,1404.781068011022,620.7309244840335,934.6363106300422,1400.535051537302,709.6762034926476,1353.075
Ni50Zr50,good,762.415859747028,774.0384307460378,1391.9408362218192,630.80706321678,917.0540524420662,1381.958273903514,696.6818486666313,1533.15
Ni60Zr40,good,705.1433740782797,711.175466006546,1334.391201016363,513.762922075802,893.6861239868774,1363.5489778549152,665.4339939856786,1433.15
Ni63Zr37,good,726.7142254559091,723.533272291944,1349.0354540507176,550.5749894362978,892.0124862868354,1357.8825208741391,604.1673935227561,1393.15
Ni65Zr35,good,721.8118234962285,740.6774181622739,1362.1995184258462,595.9186570236194,882.596439246275,1352.4104745270674,637.84554856873,1363.075
Ni68Zr32,good,708.2022317078138,742.3289803297232,1364.6424337951676,587.6606915783639,890.0106554477978,1352.857897711635,592.0741597514461,1493.15
Ni70Zr30,good,678.4350614345736,702.3380219441115,1316.176226841866,504.09379834113656,879.8899170910292,1324.1829001080723,549.7941772114641,1573.15
Ni80P20,good,525.8064535872206,489.53487853472274,1011.9086689373536,272.3376101862549,684.8712914062351,1133.516071908599,403.677331143503,1161.0
Pd78Si22,good,744.2184745229882,783.0077915533157,1391.6876530992226,562.8729298125745,987.7989821071452,1412.9589703027143,657.9208484018873,1293.15
Pd79Si21,good,787.7181645683353,773.2607501034555,1383.8984151881218,571.6599014739886,959.0576889028854,1382.280619738015,620.0249741863292,1273.15
Pd80Si20,good,763.5755561613549,802.6177985220336,1410.7644931969608,631.7555893394394,973.7379500330196,1394.582359000629,624.7370546322329,1224.0
Pd81Si19,good,734.2137233195939,795.6092043157319,1404.8356804586658,618.4027176504128,955.628696123826,1392.8932702580855,708.7630510134891,1128.0
Pd82Si18,good,740.9180125497621,786.2974714336544,1398.945900660421,604.5356085591704,972.3540178916772,1413.166304243014,720.1227248083538,1079.5
Pd84Si16,good,761.0051782150749,748.667040875333,1361.086381321529,546.6400495211694,935.26249703446,1362.5653306623874,589.4863322672311,1120.575
Pd85Si15,good,750.4377100015791,729.5345175612015,1340.5637181171728,516.0907771998044,940.265704766588,1382.8789516144611,649.4330377446911,1093.15
