_id,Composition,Reference,Is_Amorphous?,Casting,Type,Size_Measure,Size1,Size2,Characterization,From,Tg_[K],Tl_[K],DOI,Dmax_[mm],Tx_[K],Tm_[K],Melting,Environment,Sigma_[Mpa],Zmax_[mm],E_[GPA],Possion's_Ratio,v,Rc_[K/s],Fracture_Strength_[MPa],G_[GPa],Density_[g/cm^3]
60490a203e6da430a7211aec,Al10Ce70Cu20,"B. Zhang, D.Q. Zhao, M.X. Pan, W.H. Wang, A. Lindsay Greer, Phys. Rev.Lett. 94 (2005) 205502. ",AM,Melt Casting,"[Rod, Wedge]",,,,,Carter,341.0,,10.1103/PhysRevLett.94.205502,,401.0,,,,,2.0,,,,,,,
60490a203e6da430a7211aed,Al10Ce70Ni20,"Zhang, B., Zhao, D.Q., Pan, M.X., Wang, R.J., Wang, W.H.: Acta Mater. 54 (2006) 3025-3032 ",AM,Melt Casting,Rod,,,,,Carter,373.0,775.0,10.1016/j.actamat.2006.02.044,1.0,399.0,687.0,,,,,,,,,,,
60490a203e6da430a7211aee,Al10Ce80Cu10,"Zhang, B., Zhao, D.Q., Pan, M.X., Wang, R.J., Wang, W.H.: Acta Mater. 54 (2006) 3025-3032 ",AM,Melt Casting,Rod,,,,,Carter,,788.0,10.1016/j.actamat.2006.02.044,,,647.0,,,,,,,,,,,
60490a203e6da430a7211aef,Al10Ce8Cu82,"Inoue, A., Park, J., Nishiyama, N., Masumoto, T.: Mater. Trans. JIM 34 (1993) 82-84.",AM,Melt Spinning,Ribbon,Width X Thickness,1,0.02, SEM  TEM XRD,Carter,,,10.2320/matertrans1989.34.82,,,,Radio Frequency Melting,Ar-gas,,,,,,,,,
60490a203e6da430a7211af0,Al10Co10Fe15Nd65,"Mingxiang, P., Bingchen, W., Lei, X., Weihua, W., Deqian, Z., Zhi, Z., Shan, H.B.: Intermetallics 10 (2002)1215–1219.",AM,Melt Casting,Rod,,,,,Carter,,,10.1016/S0966-9795(02)00147-4,,,,,,,,,,,,,,
60490a203e6da430a7211af1,Al10Co10Fe20Nd60,"Mingxiang, P., Bingchen, W., Lei, X., Weihua, W., Deqian, Z., Zhi, Z., Shan, H.B.: Intermetallics 10 (2002)1215–1219.",AM,Melt Casting,Rod,,,,,Carter,,,10.1016/S0966-9795(02)00147-4,,759.0,,,,,,,,,,,,
60490a203e6da430a7211af2,Al10Co20Fe10Nd60,"Kumar, G., Eckert, J., Roth, S., Lo€ser, W., Schultz, L., Ram, S.: Acta Materialia 51 (2003) 229–238.",AM,,,,,,,Carter,,,10.1016/S1359-6454(02)00394-4,,488.0,,,,,,,,,,,,
60490a203e6da430a7211af3,Al10Co22.5Fe7.5Nd60,"Qiu, K.Q., Zhang, H.F., Wang, A.M., Ding, B.Z., Hu, Z.Q.: Acta Materialia 50 (2002) 3567–3578.",AM,,,,,,,Carter,,,10.1016/S1359-6454(02)00156-8,,492.0,,,,,,,,,,,,
60490a203e6da430a7211af4,Al10Co25Fe5Nd60,"Qiu, K.Q., Zhang, H.F., Wang, A.M., Ding, B.Z., Hu, Z.Q.: Acta Materialia 50 (2002) 3567–3578.",AM,,,,,,,Carter,488.0,,10.1016/S1359-6454(02)00156-8,,497.0,,,,,,,,,,,,
60490a203e6da430a7211af5,Al10Co25La65,"Zhang, W., Jia, F., Inoue, A.: Materials Transactions 48 (2007) 68–74",AM,,,,,,,Carter,434.0,1041.0,10.2320/matertrans.48.68,,457.0,694.0,,,,,,,,,,,
60490a203e6da430a7211af6,Al10Co27.5Fe2.5Nd60,"Qiu, K.Q., Zhang, H.F., Wang, A.M., Ding, B.Z., Hu, Z.Q.: Acta Materialia 50 (2002) 3567–3578.",AM,,,,,,,Carter,489.0,,10.1016/S1359-6454(02)00156-8,,513.0,,,,,,,,,,,,
